round0:start_pos:[(9, 22)], paths length:[57], min_sum:57, min_max:57
round1:start_pos:[(10, 15)], paths length:[49], min_sum:49, min_max:49
round2:start_pos:[(6, 7)], paths length:[62], min_sum:62, min_max:62
round3:start_pos:[(6, 12)], paths length:[48], min_sum:48, min_max:48
round4:start_pos:[(20, 11)], paths length:[56], min_sum:56, min_max:56
round5:start_pos:[(8, 20)], paths length:[44], min_sum:44, min_max:44
round6:start_pos:[(23, 14)], paths length:[56], min_sum:56, min_max:56
round7:start_pos:[(8, 13)], paths length:[49], min_sum:49, min_max:49
round8:start_pos:[(8, 20)], paths length:[44], min_sum:44, min_max:44
round9:start_pos:[(26, 8)], paths length:[47], min_sum:47, min_max:47
round10:start_pos:[(11, 16)], paths length:[49], min_sum:49, min_max:49
round11:start_pos:[(9, 16)], paths length:[47], min_sum:47, min_max:47
round12:start_pos:[(17, 10)], paths length:[58], min_sum:58, min_max:58
round13:start_pos:[(24, 11)], paths length:[52], min_sum:52, min_max:52
round14:start_pos:[(8, 7)], paths length:[64], min_sum:64, min_max:64
round15:start_pos:[(22, 13)], paths length:[56], min_sum:56, min_max:56
round16:start_pos:[(12, 13)], paths length:[53], min_sum:53, min_max:53
round17:start_pos:[(19, 12)], paths length:[58], min_sum:58, min_max:58
round18:start_pos:[(8, 6)], paths length:[65], min_sum:65, min_max:65
round19:start_pos:[(20, 15)], paths length:[60], min_sum:60, min_max:60
round20:start_pos:[(7, 6)], paths length:[64], min_sum:64, min_max:64
round21:start_pos:[(11, 10)], paths length:[55], min_sum:55, min_max:55
round22:start_pos:[(11, 25)], paths length:[48], min_sum:48, min_max:48
round23:start_pos:[(10, 21)], paths length:[59], min_sum:59, min_max:59
round24:start_pos:[(13, 13)], paths length:[54], min_sum:54, min_max:54
round25:start_pos:[(10, 7)], paths length:[66], min_sum:66, min_max:66
round26:start_pos:[(16, 12)], paths length:[61], min_sum:61, min_max:61
round27:start_pos:[(27, 13)], paths length:[51], min_sum:51, min_max:51
round28:start_pos:[(9, 10)], paths length:[53], min_sum:53, min_max:53
round29:start_pos:[(24, 14)], paths length:[55], min_sum:55, min_max:55
pre-processing time: 0.336s, total time:13.966s, expanding nodes:0.0, successful time:30, avg_max_paths_len+var:53.666666666666664+6.166216199763208, per_exe_time:0.46554333999999925
